open;high;low;close;volume;marketCap;timestamp
1.0907170792;1.091064428;1.0861106129;1.0905275094;266895.07;42257169.25;"2023-05-01T23:59:59.999Z"
1.0907005236;1.0924994132;1.0889142925;1.0900938889;267187.11;42240366.47;"2023-05-01T23:59:59.999Z"
1.0900096209;1.1010559572;1.086865412;1.0910391187;270449.73;42276993.46;"2023-05-01T23:59:59.999Z"
1.0909400936;1.0963918239;1.0908350465;1.0963918239;272895.9;42484325.25;"2023-05-01T23:59:59.999Z"
1.0962371201;1.0972408688;1.0786234712;1.0881481511;275569.34;42164889.38;"2023-05-01T23:59:59.999Z"
1.0881481511;1.1030044901;1.0837879254;1.0851673044;279466.03;42049197.34;"2023-05-01T23:59:59.999Z"
1.0851288101;1.0865606053;1.0824562486;1.0830333586;280067.5;41966508.98;"2023-05-01T23:59:59.999Z"
1.082354318;1.0834638995;1.0787174092;1.0834638995;276484.7;41983292.74;"2023-05-01T23:59:59.999Z"
1.0832399602;1.0836800962;1.0767684035;1.079675143;277032.7;41836481.69;"2023-05-01T23:59:59.999Z"
1.0797135155;1.0797829393;1.069374751;1.0771234126;281193.92;41737585.94;"2023-05-01T23:59:59.999Z"
1.0771742847;1.0803142187;1.0713210772;1.0767937745;278140.78;41724812.75;"2023-05-01T23:59:59.999Z"
1.0769381034;1.0769381034;1.0590726112;1.073035235;282002.89;41579621.27;"2023-05-01T23:59:59.999Z"
1.0731511267;1.0735746532;1.0621737889;1.0659438889;286882.18;41304834.87;"2023-05-01T23:59:59.999Z"
1.0657058652;1.0794147652;1.0639386036;1.074462941;295422.72;41634944.22;"2023-05-01T23:59:59.999Z"
1.0742643333;1.0773009364;1.069545314;1.077289293;307187.21;41744464.05;"2023-05-01T23:59:59.999Z"
1.0774574863;1.0775219046;1.0675851105;1.0677561157;315175.1;41375057.81;"2023-05-02T23:59:59.999Z"
1.0677940954;1.0695331011;1.0643979284;1.0646498552;312641.1;41254691.65;"2023-05-02T23:59:59.999Z"
1.0641470562;1.0757114206;1.0641470562;1.0734701087;315048.82;41596472.4;"2023-05-02T23:59:59.999Z"
1.0734378266;1.0778235303;1.0709824585;1.0759438239;318591.65;41692327.72;"2023-05-02T23:59:59.999Z"
1.0759825326;1.0780525204;1.0667784404;1.0668860908;315731.27;41341344.72;"2023-05-02T23:59:59.999Z"
1.0669379804;1.0720460995;1.0649693203;1.0681765848;310549.26;41391350.77;"2023-05-02T23:59:59.999Z"
1.0686186678;1.073863961;1.0686186678;1.0708045786;303871.8;41493184.31;"2023-05-02T23:59:59.999Z"
1.0708745407;1.0725912745;1.0678604479;1.0713877393;305377.12;41515781.52;"2023-05-02T23:59:59.999Z"
1.0717681723;1.0717681723;1.0685450657;1.0685450657;304006.81;41405629.2;"2023-05-02T23:59:59.999Z"
1.0685220067;1.0803963066;1.0650757055;1.0683241972;307484.08;41397070.65;"2023-05-02T23:59:59.999Z"
1.0679536476;1.0708999111;1.0679240507;1.0708120297;309339.43;41493473;"2023-05-02T23:59:59.999Z"
1.0724472093;1.0730311467;1.0687778744;1.072940685;311589.44;41575957.41;"2023-05-02T23:59:59.999Z"
1.0729097443;1.0741281664;1.0700905143;1.0701190324;312571.7;41466619.66;"2023-05-02T23:59:59.999Z"
1.0700397207;1.0715619819;1.0657367786;1.0686624202;313591.46;41410176.61;"2023-05-02T23:59:59.999Z"
1.0687207341;1.0766532734;1.0677215093;1.0753799552;316125.89;41670477.98;"2023-05-02T23:59:59.999Z"
1.0762362484;1.0809502707;1.0738218795;1.0791015466;321295.74;41814687.94;"2023-05-02T23:59:59.999Z"
1.0790369971;1.0796019843;1.0752705288;1.0760224242;327085.76;41695373.35;"2023-05-02T23:59:59.999Z"
1.0760252354;1.0785430255;1.0736127476;1.0785430255;335049.4;41793045.49;"2023-05-02T23:59:59.999Z"
1.0785430255;1.0797055982;1.0755748401;1.0794452237;335310.8;41828005.24;"2023-05-02T23:59:59.999Z"
1.079474674;1.081898713;1.0753607546;1.0816445947;336114.83;41913229.85;"2023-05-02T23:59:59.999Z"
1.0817322078;1.0820054035;1.0786604179;1.0794069632;332725.34;41826522.65;"2023-05-02T23:59:59.999Z"
1.0793770706;1.0803877727;1.0746170048;1.0747099503;334610.21;41644515.56;"2023-05-02T23:59:59.999Z"
1.0747864258;1.0838760805;1.0652480259;1.0748975836;333321.42;41651786.25;"2023-05-02T23:59:59.999Z"
1.0753977901;1.079346518;1.075194075;1.0771640379;323239.62;41739610.31;"2023-05-02T23:59:59.999Z"
1.0771244155;1.0822489379;1.0770472299;1.0790982152;317947.17;41814558.78;"2023-05-03T23:59:59.999Z"
1.0791578245;1.0797619099;1.0751093601;1.0770356589;316749.47;41734635.67;"2023-05-03T23:59:59.999Z"
1.0768422521;1.0779678263;1.0762485799;1.0779678263;312983.27;41770756.72;"2023-05-03T23:59:59.999Z"
1.0776779678;1.078492414;1.0745795527;1.076678905;316516.24;41720811.61;"2023-05-03T23:59:59.999Z"
1.0751612343;1.0781513955;1.0751475258;1.0766322488;314646.81;41719003.7;"2023-05-03T23:59:59.999Z"
1.0767328058;1.0830074284;1.0750355262;1.0756514592;316826.31;41680998.55;"2023-05-03T23:59:59.999Z"
1.0755992637;1.0822691791;1.0699584575;1.0699584575;317637.48;41460397.35;"2023-05-03T23:59:59.999Z"
1.0700229865;1.0732880902;1.0690138541;1.0691495202;321770.03;41429051.4;"2023-05-03T23:59:59.999Z"
1.0691377513;1.0816512872;1.0666165724;1.0727488087;327928.02;41568522.16;"2023-05-03T23:59:59.999Z"
1.0727906451;1.0754510298;1.0709439223;1.0721695862;318532.44;41546077.56;"2023-05-03T23:59:59.999Z"
1.0720502917;1.0745310204;1.071844318;1.074021605;313863.25;41617842.42;"2023-05-03T23:59:59.999Z"
1.0740287583;1.0744340054;1.0723937868;1.0723937868;307542.5;41554765.21;"2023-05-03T23:59:59.999Z"
1.07233582;1.0730162335;1.0709679895;1.0709679895;301566.7;41499516.23;"2023-05-03T23:59:59.999Z"
1.0711457232;1.0711457232;1.0675340567;1.068820452;289263.15;41416300.14;"2023-05-03T23:59:59.999Z"
1.0688234789;1.0690270735;1.0681647175;1.068205075;282029.4;41392454.55;"2023-05-03T23:59:59.999Z"
1.0682686671;1.0683478581;1.0635390393;1.0655397816;273440.57;41289175.66;"2023-05-03T23:59:59.999Z"
1.0656846621;1.0717344055;1.065220992;1.0657251443;276451.2;41296365.61;"2023-05-03T23:59:59.999Z"
1.0776673702;1.0806836393;1.0776069947;1.0792978264;272999.24;41822300.88;"2023-05-03T23:59:59.999Z"
1.0795689356;1.081800227;1.0795689356;1.0807641238;263745.11;41880491.6;"2023-05-03T23:59:59.999Z"
1.0808162682;1.0811149747;1.0794529925;1.0801453607;260682.73;41856514.02;"2023-05-03T23:59:59.999Z"
1.0802306788;1.0809252676;1.0792862972;1.0799445548;254218.77;41848732.62;"2023-05-03T23:59:59.999Z"
1.0800895666;1.0856771339;1.0800895666;1.0849230934;252311.87;42041655.05;"2023-05-03T23:59:59.999Z"
1.0850084998;1.0859119344;1.0842401122;1.0852728664;244559.36;42055209.04;"2023-05-03T23:59:59.999Z"
1.0853046793;1.0857234486;1.0843463323;1.0845960798;236489.42;42028983;"2023-05-03T23:59:59.999Z"
1.0844426949;1.0854282175;1.0837416136;1.0853199515;230784.46;42057033.61;"2023-05-04T23:59:59.999Z"
