open;high;low;close;volume;marketCap;timestamp
3.7846792022;3.8040463774;3.7832233408;3.7868730544;1719027.2229104638;142460026.87519893;"2023-03-25T23:59:59.999Z"
3.8018814799;3.8911404969;3.7866663401;3.8405317308;1779496.9153437235;144478635.99639472;"2023-03-25T23:59:59.999Z"
3.8561678398;3.8564130393;3.8376709617;3.855446524;1743446.0448695337;145039722.02051985;"2023-03-25T23:59:59.999Z"
3.8558844556;3.8560142459;3.7810935247;3.8195784001;1714832.755090944;143690383.47620434;"2023-03-25T23:59:59.999Z"
3.8219980875;3.8398977589;3.8061176934;3.8201935577;1660858.6572863942;143713525.29850155;"2023-03-25T23:59:59.999Z"
3.8349845201;3.8511500617;3.8189855826;3.8321568809;1647633.812605434;144163578.80570495;"2023-03-25T23:59:59.999Z"
3.8480123024;3.8524076022;3.8300738002;3.8449953402;1543741.6433237644;144646554.37080038;"2023-03-25T23:59:59.999Z"
3.82914972;3.8451122094;3.7872315139;3.8053834533;1495024.8361250346;143156377.51431635;"2023-03-25T23:59:59.999Z"
3.8053834533;3.8235510497;3.7920365605;3.8096046847;1398501.397190365;143315177.83660653;"2023-03-25T23:59:59.999Z"
3.8097721265;3.8109650407;3.7683268394;3.7924240387;1345998.8230705452;142668851.6383972;"2023-03-25T23:59:59.999Z"
3.7928985341;3.8162223012;3.7756307182;3.8144821952;1196451.2032611556;143498667.02238125;"2023-03-25T23:59:59.999Z"
3.7990068267;3.8221498068;3.7989669912;3.8051934997;1137499.0073719758;143149231.5453504;"2023-03-25T23:59:59.999Z"
3.8051921504;3.8537545341;3.7620571795;3.785277317;1063648.6418738363;142399995.86406907;"2023-03-25T23:59:59.999Z"
3.7673552133;3.7951476926;3.7665501997;3.7743397185;1092676.2974529562;141988529.62189087;"2023-03-25T23:59:59.999Z"
3.7741682573;3.8114324627;3.757386441;3.7843085569;1225284.1169365456;142363550.62925637;"2023-03-26T23:59:59.999Z"
3.7979217713;3.8224099364;3.7833266795;3.8115243171;1320407.5842576253;143387392.134802;"2023-03-26T23:59:59.999Z"
3.8105450614;3.8306078426;3.797095505;3.8125909928;1392375.502787935;143427428.83039376;"2023-03-26T23:59:59.999Z"
3.8248750322;3.8267738377;3.7961150435;3.7966078653;1319626.3071056954;142826152.98401552;"2023-03-26T23:59:59.999Z"
3.7958546825;3.8364938887;3.7857506435;3.8229579414;1318252.8298034654;143817185.59898263;"2023-03-26T23:59:59.999Z"
3.8361633584;3.8398309106;3.8197989649;3.8221406974;1297527.5240135954;143786441.43449107;"2023-03-26T23:59:59.999Z"
3.8344509254;3.8348843163;3.8127745588;3.8266929413;1214797.0758643458;143958314.9128144;"2023-03-26T23:59:59.999Z"
3.8144250818;3.8145961544;3.795445519;3.809146096;1195975.9615511356;143298211.19336;"2023-03-26T23:59:59.999Z"
3.8102330979;3.8422267521;3.7948449441;3.8274303027;1196494.4308217957;143986539.63388512;"2023-03-26T23:59:59.999Z"
3.8391812264;3.8422121386;3.8185014774;3.8361866403;1173309.860301806;144315949.89987332;"2023-03-26T23:59:59.999Z"
3.8352613447;3.8731002318;3.8173969979;3.8541524844;1290577.3863556155;144991919.57209623;"2023-03-26T23:59:59.999Z"
3.8542420251;3.8793035692;3.8316850885;3.8793035692;1326441.2279081652;145938094.92124152;"2023-03-26T23:59:59.999Z"
3.8704720698;3.8957759872;3.8699921512;3.8906161375;1388032.440228715;146363669.9507091;"2023-03-26T23:59:59.999Z"
3.8906161375;3.9016291091;3.8773957126;3.8816227017;1398412.501803565;146025339.90417892;"2023-03-26T23:59:59.999Z"
3.8944381901;3.8969434339;3.8665476555;3.8671810388;1421543.081448925;145482148.30353582;"2023-03-26T23:59:59.999Z"
3.8677151696;3.8976836847;3.8677151696;3.8858816004;1337314.5717274153;146185657.59228468;"2023-03-26T23:59:59.999Z"
3.8980491434;3.8996742061;3.8619005892;3.8643772506;1383936.280248715;145376670.6153087;"2023-03-26T23:59:59.999Z"
3.8636410742;3.8878537946;3.8636410742;3.8874933673;1427852.7801364148;146246291.74118352;"2023-03-26T23:59:59.999Z"
3.8751798441;3.8864570767;3.8751798441;3.8864570767;1419860.823406075;146420606.40012643;"2023-03-26T23:59:59.999Z"
3.8864837394;3.8864837394;3.839418769;3.839418769;1387656.843937239;144592725.0448806;"2023-03-26T23:59:59.999Z"
3.83826412;3.8952593797;3.83826412;3.8926410529;1406321.9669966165;146297270.5210588;"2023-03-26T23:59:59.999Z"
3.8931143616;3.8942688163;3.867958162;3.8841521078;1409038.6243519406;146102394.07617846;"2023-03-26T23:59:59.999Z"
3.8709369757;3.8874346658;3.8635326708;3.867218907;1393997.6175099132;145621919.7267898;"2023-03-26T23:59:59.999Z"
3.8780796079;3.8917696326;3.8545204814;3.8554630955;1356046.6196113124;145002397.57242796;"2023-03-26T23:59:59.999Z"
3.8551124116;3.8704855126;3.8459689971;3.850413559;1231185.9174088258;144567713.9240615;"2023-03-27T23:59:59.999Z"
3.8678372861;3.9120555673;3.8498563576;3.8758526128;1168537.7001912696;145763815.80532864;"2023-03-27T23:59:59.999Z"
3.8758497121;3.8967749915;3.8520623063;3.8967439656;1146620.4565558678;146727185.51621336;"2023-03-27T23:59:59.999Z"
3.897206155;3.8983858315;3.8143226926;3.8326947919;1209207.5981552054;144224938.57346463;"2023-03-27T23:59:59.999Z"
3.8313016515;3.8573721293;3.8152662984;3.8407444831;1209148.7091717457;144430388.4333127;"2023-03-27T23:59:59.999Z"
3.8390547593;3.9221418801;3.8390547593;3.8606365422;1218405.8371055895;145202711.82556248;"2023-03-27T23:59:59.999Z"
3.8780889221;3.8780889221;3.8320060991;3.8320060991;1241604.326105674;144301934.2516621;"2023-03-27T23:59:59.999Z"
3.8333049816;3.8632725452;3.8333049816;3.8412688463;1241504.1670451192;144332518.02124456;"2023-03-27T23:59:59.999Z"
3.8578217153;3.8670090759;3.8417854677;3.8670090759;1254503.5442344183;145605859.60365492;"2023-03-27T23:59:59.999Z"
3.8661397188;3.8780629549;3.8490924941;3.8737885793;1245969.886888062;145784785.16849622;"2023-03-27T23:59:59.999Z"
3.873788574;3.8829878694;3.8589628536;3.8795425224;1131855.031051793;145912015.4311224;"2023-03-27T23:59:59.999Z"
3.864050114;3.8933255533;3.864050114;3.8930528704;1028635.6293183013;146547402.1266813;"2023-03-27T23:59:59.999Z"
3.8915692279;3.9026217622;3.8814365547;3.8845221523;938983.1186247115;145848355.75876722;"2023-03-27T23:59:59.999Z"
3.8914184278;3.8917429048;3.8678792423;3.8698255753;887223.1408930992;145735305.6130916;"2023-03-27T23:59:59.999Z"
3.8841183167;3.8847339058;3.8208992355;3.8222787139;834958.0254240168;143676187.6417805;"2023-03-27T23:59:59.999Z"
3.7682849553;3.8099921235;3.7388012403;3.7708800379;847111.706259416;141814358.45827284;"2023-03-27T23:59:59.999Z"
3.7816637769;3.7914560603;3.7228287063;3.7227407195;827730.8421766713;140166207.8670084;"2023-03-27T23:59:59.999Z"
