open;high;low;close;volume;marketCap;timestamp
1.1890431992;1.1916637687;1.1890431992;1.1915188723;360641.64;46170521.94;"2023-04-26T23:59:59.999Z"
1.19145084;1.1954361413;1.189063762;1.1954361413;363053.74;46322310.7;"2023-04-26T23:59:59.999Z"
1.1956818086;1.1959174061;1.1861706248;1.1908335865;363701.96;46143964.93;"2023-04-26T23:59:59.999Z"
1.1907943628;1.1914652041;1.1873287571;1.1913118565;360597.98;46162492.79;"2023-04-26T23:59:59.999Z"
1.1911606774;1.1929691731;1.1426389079;1.1426389079;369223.43;44276450.41;"2023-04-26T23:59:59.999Z"
1.1427183195;1.1480383927;1.133728374;1.1424680724;386201.65;44269830.65;"2023-04-26T23:59:59.999Z"
1.1427800522;1.1469508894;1.1364696001;1.1403626564;394189.54;44188247.27;"2023-04-26T23:59:59.999Z"
1.1409977596;1.1467726624;1.1322892825;1.1446442917;404066.4;44354157.6;"2023-04-26T23:59:59.999Z"
1.1448637038;1.1484621168;1.1436281489;1.1468547669;408432.38;44439811.95;"2023-04-26T23:59:59.999Z"
1.1459749038;1.1671847892;1.1458010934;1.1665257678;435452.83;45202049.33;"2023-04-27T23:59:59.999Z"
1.1663071164;1.1683723849;1.159017521;1.1627215752;446260.01;45054639.55;"2023-04-27T23:59:59.999Z"
1.1628688764;1.1713626195;1.1565563913;1.1621707327;460925.82;45033294.78;"2023-04-27T23:59:59.999Z"
1.1623119147;1.1623119147;1.1542242531;1.160286163;462809.66;44960269.04;"2023-04-27T23:59:59.999Z"
1.1603316071;1.1636314494;1.1582029809;1.1601144076;467991.55;44953613.62;"2023-04-27T23:59:59.999Z"
1.1602005406;1.1662216802;1.1589004061;1.1649771251;473172.66;45142040.49;"2023-04-27T23:59:59.999Z"
1.164900969;1.1651216791;1.1568021383;1.1586840919;482589.38;44898189.88;"2023-04-27T23:59:59.999Z"
1.1587031402;1.1599961149;1.1561012704;1.1593755884;490770.1;44924984.88;"2023-04-27T23:59:59.999Z"
1.1593595892;1.1595302457;1.1527079625;1.154373822;494795.29;44731169.95;"2023-04-27T23:59:59.999Z"
1.1543693547;1.1575902729;1.1524355235;1.1543057696;494616.79;44728532.97;"2023-04-27T23:59:59.999Z"
1.1539847295;1.1589673565;1.1443593986;1.1473436057;495907.52;44458754.02;"2023-04-27T23:59:59.999Z"
1.1474253579;1.1610435404;1.1462270475;1.1610083055;500888.12;44988251.48;"2023-04-27T23:59:59.999Z"
1.1612266945;1.1612266945;1.1104376579;1.1248485812;523558.8;43587087.7;"2023-04-27T23:59:59.999Z"
1.1248457169;1.1248817914;1.1211566881;1.1213673419;528684.25;43452192.14;"2023-04-27T23:59:59.999Z"
